"package","version"
"R","3.4.4"
"grDevices","3.4.4"
"graphics","3.4.4"
"utils","3.4.4"
"stats","3.4.4"
"methods","3.4.4"
"tools","3.4.4"
"assertthat","0.2.0"
"crayon","1.3.4"
"grid","3.4.4"
"bit","1.1-14"
"cli","1.0.0"
"colorspace","1.3-2"
"fansi","0.2.3"
"glue","1.3.0"
"lattice","0.20-38"
"magrittr","1.5"
"Rcpp","1.0.0"
"rlang","0.3.0.1"
"stringi","1.2.4"
"utf8","1.1.4"
"fastmatch","1.1-0"
"ff","2.2-14"
"labeling","0.3"
"Matrix","1.2-14"
"munsell","0.5.0"
"nlme","3.1-137"
"pillar","1.3.0"
"plyr","1.8.4"
"R6","2.3.0"
"RColorBrewer","1.1-2"
"rJava","0.9-10"
"stringr","1.3.1"
"triebeard","0.3.0"
"viridisLite","0.3.0"
"DatabaseConnectorJars","1.0.0"
"DBI","1.0.0"
"digest","0.6.18"
"ffbase","0.12.7"
"gtable","0.2.0"
"lazyeval","0.2.1"
"MASS","7.3-50"
"mgcv","1.8-25"
"reshape2","1.4.3"
"scales","1.0.0"
"splines","3.4.4"
"SqlRender","1.6.0"
"tibble","1.4.2"
"urltools","1.7.1"
"withr","2.1.2"
"base64enc","0.1-3"
"curl","3.2"
"DatabaseConnector","2.2.0"
"ggplot2","3.1.0"
"jsonlite","1.6"
"mime","0.6"
"openssl","1.0.1"
"snow","0.4-3"
"survival","2.43-3"
"XML","3.98-1.16"
"aws.signature","0.4.1"
"Cyclops","2.0.1"
"FeatureExtraction","2.2.1"
"gridExtra","2.3"
"httr","1.3.1"
"ParallelLogger","1.1.0"
"pROC","1.13.0"
"uuid","0.1-2"
"xml2","1.2.0"
"CohortMethod","3.0.2"
"EmpiricalCalibration","1.3.6"
"MethodEvaluation","0.3.0"
"OhdsiSharing","0.1.3"
"FebuxostatVsAllopurinolCVD","0.0.1"
